x,y,vocab,count
28.681606,11.265268,encuentro,1348
-28.405737,1.5575614,casos,2301
-13.534013,6.694509,ocurrieron,137
-49.33121,-21.790329,años,8818
29.369043,29.685654,administración,1299
-6.6750107,39.985516,prioritario,36
-10.167031,41.613377,hagan,278
-21.122816,31.60165,conforme,330
14.60853,40.026844,legalidad,136
19.31183,13.806419,comandante_jefe,104
12.705683,50.307854,señalado,456
-12.860341,21.196404,peticiones,146
-12.85593,12.725141,hechas,148
-5.8803964,41.36925,fundamental,394
-26.649252,12.908341,actividades,1331
43.75402,13.045531,titular,586
-53.05114,-15.819251,jornada,1957
32.205616,-21.432562,radio,835
45.727825,15.074189,espina,63
-53.51531,-16.194204,lunes_noche,108
52.77157,-10.651643,rafael,247
31.250431,-10.074739,harvey,77
45.395203,6.7416315,institución,1402
51.993282,11.466277,joaquín_lavín,86
13.25716,-9.976682,registro,1030
3.5302117,-20.145086,robo,1045
-10.559234,-37.08515,taco,31
-10.278214,-41.88471,paso,2086
-35.562973,10.098268,nivel,1482
32.73843,-13.309217,kennedy,112
-4.0286846,-45.29663,comuna_condes,39
51.645687,10.002149,jefe_comunal,205
29.14811,-20.11619,emol,86
27.82759,38.764412,cámara,994
-9.326756,-34.2937,móvil,384
-52.694614,-13.929625,hora,1707
-13.228416,-52.60277,punta,216
-52.73947,-12.144311,1700,157
-52.51777,-12.698837,1930,63
-10.568388,-37.178802,congestión,91
44.47716,11.251127,subsecretaria,174
44.478245,11.11434,prevención_delito,49
47.497307,-12.319781,katherine,110
51.882504,6.370581,martorell,29
-8.333945,42.43545,oportunidad,1225
-10.565517,-37.188087,congestión_vehicular,61
-4.2532744,22.513653,causas,804
-16.823666,7.64337,genera,574
-8.01779,42.68297,posibilidad,1545
11.015341,10.977236,delito,1497
-12.712604,5.634925,frecuentes,187
8.687496,-42.23603,capital,2471
-30.918526,-8.187072,instalarán,23
-31.01199,-8.217145,pórticos,12
-30.883907,-8.461589,autopistas,85
-7.694106,38.06002,coordinar,139
-15.708476,24.984009,acciones,1546
-6.3390517,-14.051505,policías,991
-28.500443,11.607152,municipios,305
-3.2181714,6.8527293,robos,247
-25.329697,-35.687126,vehículos,1519
-9.792192,-20.337656,encerrona,17
-23.34073,-8.317358,opera,199
-2.240099,-32.939087,desplazó,41
-3.2692645,6.7813473,portonazos,26
-10.545183,32.045723,instalar,199
-58.301167,9.334731,30,1869
-3.6076014,-45.453285,región_metropolitana,714
-31.00052,-6.791624,salidas,114
-24.841425,-26.824278,escape,76
0.84248704,28.916746,vemos,246
-3.7488523,-44.950386,condes,244
-3.906924,46.79466,buscará,229
-39.331562,12.125172,disminuir,271
-26.090612,7.0051155,horarios,155
-31.073437,-9.342293,semáforos,75
-7.3619585,-28.324253,rojo,228
-23.979414,-34.737617,conductores,402
-17.913857,1.63552,propensos,32
-3.215528,6.872062,asaltos,45
-27.840002,33.4608,ministerio_transportes,123
-5.0659504,46.86183,permite,1061
-38.87608,-8.902609,intermitencia,14
-30.141912,-9.212059,avenidas,31
-23.494917,23.940456,tengan,608
-7.673371,-27.95197,amarillo,76
-38.64223,-15.806677,intermitente,32
-37.18235,32.141117,significa,743
-46.554512,13.903255,equivalente,315
-7.136172,-28.538214,verde,397
